PUT: Start: 839417, End: 439003958, Latency: 438164541 µs
APPEND: Start: 439356042, End: 449426750, Latency: 10070708 µs
GET: Start: 449474208, End: 459577042, Latency: 10102834 µs
GET: Start: 459618375, End: 469714917, Latency: 10096542 µs
GET: Start: 469771875, End: 479884833, Latency: 10112958 µs
APPEND: Start: 479938542, End: 490042625, Latency: 10104083 µs
APPEND: Start: 490104292, End: 500202083, Latency: 10097791 µs
GET: Start: 503205417, End: 513296625, Latency: 10091208 µs
APPEND: Start: 513371458, End: 523454875, Latency: 10083417 µs
APPEND: Start: 524130042, End: 534305708, Latency: 10175666 µs
APPEND: Start: 535211292, End: 545470000, Latency: 10258708 µs
GET: Start: 546250542, End: 556416083, Latency: 10165541 µs
GET: Start: 557188708, End: 567315083, Latency: 10126375 µs
GET: Start: 568132875, End: 578314875, Latency: 10182000 µs
APPEND: Start: 578358750, End: 588489042, Latency: 10130292 µs
APPEND: Start: 588550417, End: 598684750, Latency: 10134333 µs
GET: Start: 598764625, End: 608911333, Latency: 10146708 µs
APPEND: Start: 608996792, End: 619183792, Latency: 10187000 µs
APPEND: Start: 619281083, End: 629471125, Latency: 10190042 µs
GET: Start: 629578292, End: 639806042, Latency: 10227750 µs
APPEND: Start: 639908583, End: 650192000, Latency: 10283417 µs
APPEND: Start: 650278542, End: 660455500, Latency: 10176958 µs
GET: Start: 660533042, End: 670742167, Latency: 10209125 µs
GET: Start: 670798667, End: 681110417, Latency: 10311750 µs
APPEND: Start: 681179500, End: 691432333, Latency: 10252833 µs
GET: Start: 691479292, End: 701627792, Latency: 10148500 µs
GET: Start: 701679708, End: 711977125, Latency: 10297417 µs
GET: Start: 712026167, End: 722188750, Latency: 10162583 µs
GET: Start: 722251375, End: 732421875, Latency: 10170500 µs
GET: Start: 768618375, End: 778815875, Latency: 10197500 µs
APPEND: Start: 778875000, End: 789104417, Latency: 10229417 µs
APPEND: Start: 789143917, End: 799378458, Latency: 10234541 µs
APPEND: Start: 799426333, End: 809695542, Latency: 10269209 µs
APPEND: Start: 809751125, End: 819894167, Latency: 10143042 µs
APPEND: Start: 819949667, End: 830186833, Latency: 10237166 µs
GET: Start: 830250792, End: 840445958, Latency: 10195166 µs
GET: Start: 840501833, End: 850732458, Latency: 10230625 µs
APPEND: Start: 850802375, End: 861017625, Latency: 10215250 µs
GET: Start: 861081583, End: 871251417, Latency: 10169834 µs
GET: Start: 871279375, End: 881572500, Latency: 10293125 µs
GET: Start: 881840375, End: 892359083, Latency: 10518708 µs
GET: Start: 892764042, End: 903283708, Latency: 10519666 µs
APPEND: Start: 903665708, End: 914724000, Latency: 11058292 µs
APPEND: Start: 915066750, End: 928963208, Latency: 13896458 µs
APPEND: Start: 929160167, End: 939567417, Latency: 10407250 µs
APPEND: Start: 939727042, End: 950148458, Latency: 10421416 µs
GET: Start: 950378625, End: 962020833, Latency: 11642208 µs
GET: Start: 962157042, End: 972440833, Latency: 10283791 µs
APPEND: Start: 972518208, End: 983297250, Latency: 10779042 µs
GET: Start: 983373042, End: 993644625, Latency: 10271583 µs
GET: Start: 993729542, End: 1004147083, Latency: 10417541 µs
GET: Start: 1004209042, End: 1014496542, Latency: 10287500 µs
GET: Start: 1014552375, End: 1024814083, Latency: 10261708 µs
APPEND: Start: 1024886292, End: 1035107500, Latency: 10221208 µs
GET: Start: 1035151042, End: 1045597375, Latency: 10446333 µs
APPEND: Start: 1045649083, End: 1055859000, Latency: 10209917 µs
GET: Start: 1055912000, End: 1066161958, Latency: 10249958 µs
APPEND: Start: 1066209250, End: 1076446000, Latency: 10236750 µs
